customer_id,asset_name,asset_type,units,purchase_price,current_value
C001,Apple Inc.,Stocks,25,135.75,4250.50
C001,Microsoft Corp.,Stocks,15,245.25,4125.30
C001,Vanguard Total Bond ETF,Bonds,50,85.20,4387.50
C001,S&P 500 Index Fund,Mutual Funds,30,375.80,11650.50
C001,Treasury Bond 2025,Fixed Income,10000,0.98,10250.00
C002,Johnson & Johnson,Stocks,20,165.30,3450.60
C002,Vanguard REIT ETF,Real Estate,40,92.15,3825.20
C002,Municipal Bond Fund,Bonds,75,110.50,8362.50
C002,Money Market Fund,Cash Equivalent,15000,1.00,15000.00
C003,Tesla Inc.,Stocks,12,780.45,9875.40
C003,Bitcoin ETF,Cryptocurrency,8,325.75,2950.40
C003,ARK Innovation ETF,ETFs,35,125.40,5250.25
C003,Emerging Markets Fund,Mutual Funds,45,55.25,2625.75
C003,Small Cap Growth Fund,Mutual Funds,60,48.75,3120.00
C004,Berkshire Hathaway,Stocks,5,415.20,2125.50
C004,US Treasury Bonds,Bonds,25000,0.985,24950.00
C004,S&P 500 Index Fund,Mutual Funds,85,375.80,32978.00
C004,Corporate Bond Fund,Bonds,120,105.50,12840.00
C004,REITs Portfolio,Real Estate,55,88.75,5105.25
C005,Amazon.com Inc.,Stocks,18,3250.75,62500.00
C005,Private Equity Fund,Alternative,100000,1.25,132500.00
C005,High Yield Bond Fund,Bonds,200,67.50,14250.00
C005,Gold ETF,Commodities,40,185.25,7850.00
C005,International Stock Fund,Mutual Funds,150,45.25,7125.00
